AvgSteps,AvgDistance,AvgTemperature,Humidty,AvgWindSpeed,Precipitation
2322.75,0.98505093,63.5,0,7.6,0
2853,1.223069088,68,6,11.5,0.22
3904.25,1.706370682,56.5,10,15.7,0.37
1528.5,0.635325509,49,0,7.8,0
4679.25,2.044924712,50.5,10,13.3,0.3
1066,0.46273915,54,24,7.8,0.68
4918.75,1.89994907,56.5,1,13.5,0
4014.5,1.779844996,50.5,0,10.5,0
1657.25,0.707690434,46,9,12.5,0.77
2732.25,1.188866253,42,6,16.6,0.03
3299,1.440084145,39.5,0,10.6,0
3871,1.815994243,43,1,5.3,0.04
1951.25,0.84474535,46.5,12,13.6,1.06
6590.75,2.86261736,37.5,0,16.9,0
1776.75,0.758488264,34,9,15.8,1.16
2757.5,1.183735607,39.5,7,19.6,0.31
4497,2.076514615,42,0,13.1,0
2245.75,1.053124446,41.5,0,7.3,0
10205.5,4.503830824,45.5,0,5.2,0
5983.5,2.603345881,43,0,12.1,0
5038.5,2.286370682,35.5,0,15.7,0
6333.75,2.747750221,22.5,0,18.5,0
6505.5,2.599822852,23.5,0,7.3,0
7017.25,2.932453499,40,5,11,0.97
5100.25,2.249765279,50,5,10.2,0.81
2203,0.92814659,49,9,13.8,0.85
3132.5,1.362152347,41,3,17.1,0.03
4904.75,2.06290744,39,0,19.4,0
1948.5,0.819486271,42,0,19.5,0
1158.25,0.506815766,40.5,0,5.4,0.02
5046.25,2.14481178,41,1,6.3,0.05
2640.5,1.087327281,49,24,7.9,0.59
2930,1.224521701,50.5,4,14.5,0
4030.25,1.657723649,38.5,0,15.5,0
8559.75,3.571605403,32.5,0,9.2,0
7482,3.218972542,35,0,12.9,0
5120.5,2.20833481,33.5,0,15,0
2817,1.132522143,30,0,10.5,0
5853.75,2.468288308,32,0,6.8,0
5075.5,2.138850753,34,0,9.8,0
7452.25,3.277925155,35,0,8.1,0
5232.5,2.18755093,37,0,11.8,0
4726.75,1.973985828,36.5,1,12.4,0.03
5399,2.302980514,45.5,4,7.5,0.1
5835.75,2.271578831,49,13,8.7,0.14
5487.75,2.189526129,40.5,16,19.6,1.43
6189,2.506809123,41.5,1,17.8,0.03
4077,1.667630647,34,0,20.8,0
2517.5,1.036857839,34,0,7.9,0
6597.25,2.529032329,42,8,8.1,0.22
6122.5,2.558000443,54,22,16.2,1.61
6869,2.956773694,47,1,19,0.02
8069.75,3.375994243,39.5,0,10,0
5605.75,2.378277236,39.5,7,9.7,0.12
7530.75,3.180912312,36.5,0,13.1,0
2969.5,1.220343224,37.5,0,9.5,0
6851.5,2.861822409,40.5,0,9.5,0
3834.75,1.459869353,51.5,19,9.4,1.15
5323,2.146623118,48,1,15.6,0
4578.25,1.870236935,36.5,0,6.9,0
2764,1.083024801,42,7,7.8,1.02
7464.75,2.945699734,48.5,6,17.1,0.06
7507.75,2.941516829,37.5,0,8.5,0
4042.75,1.709674491,40.5,0,10.5,0
3642.75,1.47323295,41,0,9.8,0
4074.75,1.87428698,44,18,13.5,0.5
4825.5,1.93828388,40,0,17.3,0
6644,2.70353853,29.5,0,9.9,0
6009.25,2.399734278,39.5,8,5.5,0.17
5316.5,2.147770151,39.5,2,20.9,0.06
6270.25,2.682300709,31,0,22.8,0
8180.25,3.610387511,25.5,0,19.1,0
4646.5,1.951933127,27,0,8.1,0
7001.75,2.81319752,29,0,11.3,0
5008.75,2.021441541,27,0,11,0
3042.75,1.255261293,30.5,0,6.9,0
4822.25,2.012821081,34.5,0,11.9,0
9754,3.976505757,28.5,0,9.2,0
3406.75,1.410478299,34,3,7.6,0.05
5042,2.168899469,34.5,3,9.5,0.29
1262.75,0.526107174,28,12,20.3,0.88
4483.75,1.871412755,9,0,26.5,0
7749.5,3.25011736,22,0,10.8,0
1981.25,0.839335695,41.5,0,9,0
6002.5,2.44255093,47,11,16.8,1.33
8388.75,3.582418069,34,0,15.3,0
7910.5,3.331882197,29.5,0,9.4,0
4885.25,2.108115589,40.5,0,11.1,0
6005.25,2.4839969,31.5,0,9.3,0
7575.25,3.277984942,34,2,9.5,0.23
3371.5,1.467420283,20.5,1,19.7,0.01
