Date,Avinash_Distance,Juhan_Distance,Daniel_Distance,Viet_Distance,Avg_Distance,Precipitation,,,,,,,,,,
2018-11-01,0.13,0.3,0.81,2.7,0.99,0,,,,,,,,,,
2018-11-02,1.67,0.61,0.81,1.8,1.22,0.22,,,,,,,,,,
2018-11-03,3.90,2.21,0.72,0,1.71,0.37,,,,,,,,,,
2018-11-04,0.57,0.26,0.71,1,0.64,0,,,,,,,,,,
2018-11-05,3.96,1.44,0.68,2.1,2.04,0.3,,,,,,,,,,
2018-11-06,0.48,0.69,0.68,0,0.46,0.68,,,,,,,,,,
2018-11-07,1.87,0.15,0.68,4.9,1.90,0,,,,,,,,,,
2018-11-08,2.30,2.94,0.68,1.2,1.78,0,,,,,,,,,,
2018-11-09,1.66,0.43,0.68,0.06,0.71,0.77,,,,,,,,,,
2018-11-10,3.78,0.28,0.68,0.02,1.19,0.03,,,,,,,,,,
2018-11-11,4.28,0.1,0.68,0.7,1.44,0,,,,,,,,,,
2018-11-12,4.19,1.77,0.68,0.62,1.82,0.04,,,,,,,,,,
2018-11-13,1.85,0.05,0.65,0.83,0.84,1.06,,,,,,,,,,
2018-11-14,3.93,0.92,1.3,5.3,2.86,0,,,,,,,,,,
2018-11-15,1.36,0.67,1,0.007,0.76,1.16,,,,,,,,,,
2018-11-16,1.48,1.11,1.2,0.94,1.18,0.31,,,,,,,,,,
2018-11-17,4.05,2,0.86,1.4,2.08,0,,,,,,,,,,
2018-11-18,1.92,0.45,0.54,1.3,1.05,0,,,,,,,,,,
2018-11-19,2.82,11.8,1.8,1.6,4.50,0,,,,,,,,,,
2018-11-20,4.42,0.39,2.5,3.1,2.60,0,,,,,,,,,,
2018-11-21,2.90,0.9,5.3,0.05,2.29,0,,,,,,,,,,
2018-11-22,2.53,0.56,5.2,2.7,2.75,0,,,,,,,,,,
2018-11-23,3.20,0.03,6.4,0.77,2.60,0,,,,,,,,,,
2018-11-24,3.99,3.63,3.3,0.81,2.93,0.97,,,,,,,,,,
2018-11-25,2.14,2.06,1.6,3.2,2.25,0.81,,,,,,,,,,
2018-11-26,2.02,0.47,1.2,0.02,0.93,0.85,,,,,,,,,,
2018-11-27,3.33,0.89,1.2,0.03,1.36,0.03,,,,,,,,,,
2018-11-28,3.04,0.81,1.1,3.3,2.06,0,,,,,,,,,,
2018-11-29,1.08,0.49,0.61,1.1,0.82,0,,,,,,,,,,
2018-11-30,0.21,1.23,0.54,0.05,0.51,0.02,,,,,,,,,,
2018-12-01,3.15,2.83,0.7,1.9,2.14,0.05,,,,,,,,,,
